cable_key,cable_name,rfs_year,length_km,lp_id,lp_name,country,latitude,longitude
id-2africa,2Africa,2024,"45,000 km",luanda-angola,"Luanda, Angola",Angola,-8.812854559863949,13.23502579702745
id-2africa,2Africa,2024,"45,000 km",manama-bahrain,"Manama, Bahrain",Bahrain,26.228971616238493,50.57581965695888
id-2africa,2Africa,2024,"45,000 km",moroni-comoros,"Moroni, Comoros",Comoros,-11.700694108521688,43.24340297631166
id-2africa,2Africa,2024,"45,000 km",muanda-congo-dem-rep-,"Muanda, Congo, Dem. Rep.","Congo, Dem. Rep.",-5.933359258652115,12.349870174080092
id-2africa,2Africa,2024,"45,000 km",pointe-noire-congo-rep-,"Pointe-Noire, Congo, Rep.","Congo, Rep.",-4.779091572143155,11.863640049779946
id-2africa,2Africa,2024,"45,000 km",abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",Côte d'Ivoire,5.323518612555771,-4.026241271803983
id-2africa,2Africa,2024,"45,000 km",djibouti-city-djibouti,"Djibouti City, Djibouti",Djibouti,11.594678044710776,43.14799288765091
id-2africa,2Africa,2024,"45,000 km",port-said-egypt,"Port Said, Egypt",Egypt,31.259279,32.28445799999981
id-2africa,2Africa,2024,"45,000 km",ras-ghareb-egypt,"Ras Ghareb, Egypt",Egypt,28.36590799999975,33.082788999999806
id-2africa,2Africa,2024,"45,000 km",suez-egypt,"Suez, Egypt",Egypt,29.9722883988634,32.53012931569517
id-2africa,2Africa,2024,"45,000 km",zafarana-egypt,"Zafarana, Egypt",Egypt,29.116686929125173,32.649855793379736
id-2africa,2Africa,2024,"45,000 km",marseille-france,"Marseille, France",France,43.29316463678684,5.372629023073098
id-2africa,2Africa,2024,"45,000 km",libreville-gabon,"Libreville, Gabon",Gabon,0.394268790397072,9.454364412783434
id-2africa,2Africa,2024,"45,000 km",accra-ghana,"Accra, Ghana",Ghana,5.558283401661053,-0.201097497196668
id-2africa,2Africa,2024,"45,000 km",tympaki-greece,"Tympaki, Greece",Greece,35.07140756999981,24.768278120000296
id-2africa,2Africa,2024,"45,000 km",mumbai-india,"Mumbai, India",India,19.07579693373203,72.87590151562159
id-2africa,2Africa,2024,"45,000 km",al-faw-iraq,"Al Faw, Iraq",Iraq,29.923295047889447,48.531778136227075
id-2africa,2Africa,2024,"45,000 km",genoa-italy,"Genoa, Italy",Italy,44.410338999999794,8.938900000000473
id-2africa,2Africa,2024,"45,000 km",mombasa-kenya,"Mombasa, Kenya",Kenya,-4.053206761989876,39.67280003701128
id-2africa,2Africa,2024,"45,000 km",mtwapa-kenya,"Mtwapa, Kenya",Kenya,-3.946130000001213,39.74507100000067
id-2africa,2Africa,2024,"45,000 km",kuwait-city-kuwait,"Kuwait City, Kuwait",Kuwait,29.37401624369425,47.97474728083281
id-2africa,2Africa,2024,"45,000 km",mahajanga-madagascar,"Mahajanga, Madagascar",Madagascar,-15.713720000000299,46.31552100000039
id-2africa,2Africa,2024,"45,000 km",maputo-mozambique,"Maputo, Mozambique",Mozambique,-25.968533089796413,32.58061756117876
id-2africa,2Africa,2024,"45,000 km",nacala-mozambique,"Nacala, Mozambique",Mozambique,-14.565605999999761,40.685431
id-2africa,2Africa,2024,"45,000 km",kwa-ibo-nigeria,"Kwa Ibo, Nigeria",Nigeria,4.543802999999177,7.997436999999589
id-2africa,2Africa,2024,"45,000 km",lagos-nigeria,"Lagos, Nigeria",Nigeria,6.438874849613729,3.423216341555379
id-2africa,2Africa,2024,"45,000 km",barka-oman,"Barka, Oman",Oman,23.678719999999707,57.88605
id-2africa,2Africa,2024,"45,000 km",salalah-oman,"Salalah, Oman",Oman,17.095825991958318,54.14808275133401
id-2africa,2Africa,2024,"45,000 km",karachi-pakistan,"Karachi, Pakistan",Pakistan,24.88937409747322,67.02854237669561
id-2africa,2Africa,2024,"45,000 km",carcavelos-portugal,"Carcavelos, Portugal",Portugal,38.69016282606887,-9.331559779091531
id-2africa,2Africa,2024,"45,000 km",doha-qatar,"Doha, Qatar",Qatar,25.294340911551398,51.51937367603625
id-2africa,2Africa,2024,"45,000 km",al-khobar-saudi-arabia,"Al Khobar, Saudi Arabia",Saudi Arabia,26.286171946143295,50.214198819384315
id-2africa,2Africa,2024,"45,000 km",duba-saudi-arabia,"Duba, Saudi Arabia",Saudi Arabia,27.354018999999465,35.69652899999984
id-2africa,2Africa,2024,"45,000 km",jeddah-saudi-arabia,"Jeddah, Saudi Arabia",Saudi Arabia,21.481258967424996,39.18276132165815
id-2africa,2Africa,2024,"45,000 km",yanbu-saudi-arabia,"Yanbu, Saudi Arabia",Saudi Arabia,24.070555564820936,38.10698083375123
id-2africa,2Africa,2024,"45,000 km",dakar-senegal,"Dakar, Senegal",Senegal,14.686597713745336,-17.451915354680473
id-2africa,2Africa,2024,"45,000 km",carana-seychelles,"Carana, Seychelles",Seychelles,-4.565748999999809,55.45302899999983
id-2africa,2Africa,2024,"45,000 km",berbera-somalia,"Berbera, Somalia",Somalia,10.43511582934602,45.01088219296272
id-2africa,2Africa,2024,"45,000 km",mogadishu-somalia,"Mogadishu, Somalia",Somalia,2.041189900937192,45.344182738099455
id-2africa,2Africa,2024,"45,000 km",amanzimtoti-south-africa,"Amanzimtoti, South Africa",South Africa,-30.057720000000288,30.88039000000108
id-2africa,2Africa,2024,"45,000 km",duynefontein-south-africa,"Duynefontein, South Africa",South Africa,-33.69332250414625,18.449914853508062
id-2africa,2Africa,2024,"45,000 km",gqeberha-south-africa,"Gqeberha, South Africa",South Africa,-33.962498999999816,25.623280000000147
id-2africa,2Africa,2024,"45,000 km",yzerfontein-south-africa,"Yzerfontein, South Africa",South Africa,-33.34822369818516,18.15553012379608
id-2africa,2Africa,2024,"45,000 km",barcelona-spain,"Barcelona, Spain",Spain,41.38562799999929,2.168764
id-2africa,2Africa,2024,"45,000 km",gran-canaria-canary-islands-spain,"Gran Canaria, Canary Islands, Spain",Spain,27.957734999999765,-15.596565000000123
id-2africa,2Africa,2024,"45,000 km",port-sudan-sudan,"Port Sudan, Sudan",Sudan,19.61556365090266,37.219676774825814
id-2africa,2Africa,2024,"45,000 km",dar-es-salaam-tanzania,"Dar Es Salaam, Tanzania",Tanzania,-6.823229228025631,39.26967532258757
id-2africa,2Africa,2024,"45,000 km",abu-dhabi-united-arab-emirates,"Abu Dhabi, United Arab Emirates",United Arab Emirates,24.44378591321795,54.41888334074638
id-2africa,2Africa,2024,"45,000 km",kalba-united-arab-emirates,"Kalba, United Arab Emirates",United Arab Emirates,25.051524,56.33997900000023
id-2africa,2Africa,2024,"45,000 km",bude-united-kingdom,"Bude, United Kingdom",United Kingdom,50.82811048000128,-4.544404967232005
id-5-villages-6-islands,5 Villages 6 Islands,2019,355 km,aogashima-japan,"Aogashima, Japan",Japan,32.45723123281979,139.76561090792202
id-5-villages-6-islands,5 Villages 6 Islands,2019,355 km,hachijo-japan,"Hachijo, Japan",Japan,33.11229519278616,139.79680232984748
id-5-villages-6-islands,5 Villages 6 Islands,2019,355 km,kozushima-japan,"Kozushima, Japan",Japan,34.20695345476847,139.13964077948097
id-5-villages-6-islands,5 Villages 6 Islands,2019,355 km,mikurashima-japan,"Mikurashima, Japan",Japan,33.88350991725466,139.597023244309
id-5-villages-6-islands,5 Villages 6 Islands,2019,355 km,miyake-japan,"Miyake, Japan",Japan,34.09038084354649,139.49535639821372
id-5-villages-6-islands,5 Villages 6 Islands,2019,355 km,niijima-japan,"Niijima, Japan",Japan,34.373853145806095,139.258350283468
id-5-villages-6-islands,5 Villages 6 Islands,2019,355 km,oshima-japan,"Oshima, Japan",Japan,34.750672522776554,139.36069278510652
id-5-villages-6-islands,5 Villages 6 Islands,2019,355 km,shikinejima-japan,"Shikinejima, Japan",Japan,34.3308542940764,139.21551869844038
id-5-villages-6-islands,5 Villages 6 Islands,2019,355 km,toshima-japan,"Toshima, Japan",Japan,34.529808064948476,139.27888824035568
id-acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),2009,"3,000 km",anchorage-ak-united-states,"Anchorage, AK, United States",United States,61.21746022819186,-149.85837062897107
id-acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),2009,"3,000 km",florence-or-united-states,"Florence, OR, United States",United States,43.98213392544815,-124.09983785116658
id-acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),2009,"3,000 km",homer-ak-united-states,"Homer, AK, United States",United States,59.6463664840008,-151.54430693463783
id-acs-alaska-oregon-network-akorn,ACS Alaska-Oregon Network (AKORN),2009,"3,000 km",nikiski-ak-united-states,"Nikiski, AK, United States",United States,60.68982437473834,-151.2917192229484
id-aden-djibouti,Aden-Djibouti,1994,269 km,djibouti-city-djibouti,"Djibouti City, Djibouti",Djibouti,11.594678044710776,43.14799288765091
id-aden-djibouti,Aden-Djibouti,1994,269 km,aden-yemen,"Aden, Yemen",Yemen,12.800683889023277,45.0335384269116
id-adria-1,Adria-1,1996,440 km,durres-albania,"Durres, Albania",Albania,41.316693174085714,19.45006045673864
id-adria-1,Adria-1,1996,440 km,dubrovnik-croatia,"Dubrovnik, Croatia",Croatia,42.64186152795143,18.106409064843877
id-adria-1,Adria-1,1996,440 km,corfu-greece,"Corfu, Greece",Greece,39.61929827180403,19.9194937179377
